customer_id,customer_name,email,phone,city,state,registration_date
1,Aditya Handa,urvi56@example.com,05079471526,Mumbai,Telangana,2024-04-20
2,Zaitra Kala,udyati87@example.org,04925554718,Hyderabad,West Bengal,2024-09-29
3,Ayaan Oak,madanhiral@example.org,6450556152,Bangalore,West Bengal,2025-10-20
4,Kiaan Soman,yashawiniborah@example.net,07146823668,Chennai,Delhi,2024-12-31
5,Chavvi Rout,ayushman79@example.org,+915730646871,Chennai,Maharashtra,2024-09-24
6,Pahal Manne,raagini81@example.org,+913224937747,Kolkata,Karnataka,2024-09-03
7,Aarnav Panchal,manthanparsa@example.org,6189449082,Delhi,Karnataka,2024-03-19
8,Isaac Barman,gbains@example.net,01099390997,Bangalore,Maharashtra,2024-06-18
9,Omisha Chaudhry,tbhandari@example.net,05013408013,Pune,West Bengal,2025-12-24
10,Nimrat Khatri,chameli50@example.net,2070131673,Chennai,West Bengal,2025-12-06
11,Widisha Kibe,chamanmangal@example.net,09257673041,Hyderabad,Telangana,2025-06-26
12,Krish Sur,fchada@example.org,02496138250,Delhi,West Bengal,2025-04-28
13,Arunima Bhatia,lipikabalakrishnan@example.com,01641789355,Delhi,Maharashtra,2024-11-17
14,Jagat Hayre,igupta@example.net,08925402667,Hyderabad,Telangana,2025-03-23
15,Harini Kapoor,pbiswas@example.com,+911907465633,Delhi,Delhi,2026-02-07
16,Noah Randhawa,xkale@example.com,02664920792,Hyderabad,Tamil Nadu,2025-03-07
17,Sai Khosla,bdeshmukh@example.net,+910904825065,Ahmedabad,Maharashtra,2025-02-15
18,Manan Chowdhury,jmahal@example.org,08269321483,Mumbai,West Bengal,2025-09-26
19,Qushi Sagar,wyatt69@example.org,9505249976,Kolkata,Gujarat,2024-12-24
20,Bishakha Krishna,bdugal@example.com,7810070417,Delhi,Gujarat,2024-08-01
21,Girik Karnik,dhruv71@example.com,04918281669,Pune,West Bengal,2024-12-05
22,Ishita Bath,hnayak@example.org,06450995353,Bangalore,Telangana,2025-09-25
23,Gaurika Mittal,chanchal03@example.net,9025238613,Delhi,Delhi,2025-03-08
24,Chameli Narang,nigamdaksh@example.org,1237444242,Pune,Maharashtra,2025-11-29
25,Joshua Bahl,bhavya19@example.com,+918628831346,Delhi,Maharashtra,2025-07-22
26,Ria Soman,esubramaniam@example.com,05539796997,Kolkata,Karnataka,2025-05-01
27,Wyatt Peri,chandrajanya@example.com,1941189855,Chennai,Delhi,2025-06-28
28,Vamakshi Nagarajan,nimratiyengar@example.org,2891856356,Pune,Gujarat,2024-12-25
29,Brijesh Singh,shannihal@example.net,07498471708,Bangalore,West Bengal,2024-03-07
30,Oviya Naik,nidhi56@example.net,8371611861,Bangalore,Maharashtra,2025-10-31
31,Sachi Dewan,banjeet13@example.com,4059354356,Mumbai,Tamil Nadu,2025-10-22
32,Jagat Memon,rayaan05@example.com,+919929651983,Bangalore,Telangana,2024-10-24
33,Ekalinga Deshmukh,laban72@example.net,06395840561,Kolkata,West Bengal,2024-09-25
34,Vansha Mani,abhiram00@example.net,+912766467855,Hyderabad,West Bengal,2024-04-23
35,Eta Sathe,ubajwa@example.net,+918235231489,Bangalore,Telangana,2024-03-05
36,Rushil Magar,hdash@example.org,02133041340,Ahmedabad,Gujarat,2025-09-26
37,Urmi Agarwal,abhimanyuoommen@example.net,5518201375,Hyderabad,Maharashtra,2025-08-24
38,Rehaan Atwal,jeremiah17@example.net,+911891372789,Delhi,Delhi,2024-06-14
39,Maanav Khurana,choudhuryshaurya@example.com,2531178725,Delhi,Tamil Nadu,2024-02-18
40,Chanchal Dutt,oeshivarkey@example.net,08240090786,Pune,Karnataka,2024-02-27
41,Nandini Divan,rlanka@example.com,07699980863,Pune,Karnataka,2026-01-17
42,Gaurav Mittal,srinivaschandani@example.com,08045953538,Bangalore,Delhi,2025-03-05
43,Dayita Bhalla,koak@example.org,+912005493753,Chennai,West Bengal,2025-02-07
44,Lekha Doctor,nathaniel30@example.net,07878038232,Delhi,Delhi,2024-05-25
45,Praneel Nayak,sdoshi@example.com,+913754427404,Chennai,Gujarat,2026-01-21
46,Anvi Soman,regeneha@example.org,02078614130,Mumbai,Gujarat,2024-07-29
47,Isaiah Mall,balaaachal@example.com,+912691919602,Chennai,Delhi,2025-04-07
48,Shravya Prakash,nrastogi@example.net,09960851986,Hyderabad,West Bengal,2024-08-11
49,Libni Ramakrishnan,ekansh50@example.com,9998481155,Pune,Karnataka,2024-06-17
50,Yug Merchant,raghavthakur@example.net,06467652407,Mumbai,Gujarat,2024-12-31
51,Krish Rattan,ebaral@example.com,03373873990,Hyderabad,Telangana,2024-08-11
52,Xiti Chokshi,egarde@example.net,+910795647475,Pune,Maharashtra,2024-11-20
53,Aahana Bajwa,jhalak41@example.net,03378374939,Hyderabad,Telangana,2025-09-07
54,Owen Shenoy,ramachandranyatin@example.net,8156988570,Delhi,Tamil Nadu,2024-08-11
55,Gaurav Dash,grao@example.net,+912021082759,Mumbai,Karnataka,2024-05-31
56,Udarsh Goda,dubeykashish@example.net,5554942158,Kolkata,Delhi,2025-12-03
57,Pavani Gade,aarush51@example.com,06879633743,Pune,Gujarat,2024-04-12
58,Girindra Pal,twarrior@example.com,+918622988767,Pune,Karnataka,2024-08-09
59,Frado Sharaf,gvig@example.net,8723113795,Bangalore,Gujarat,2026-01-28
60,Zarna Bhatnagar,oshaparekh@example.org,9509738679,Ahmedabad,Gujarat,2025-07-16
61,Wakeeta Chhabra,vasatika19@example.com,+911385401693,Delhi,Maharashtra,2025-07-28
62,Udyati Randhawa,gargaarush@example.net,00916348032,Delhi,Maharashtra,2025-10-02
63,Sachi Ravi,iryasankaran@example.com,5035739789,Chennai,Delhi,2026-01-21
64,Aradhana Nanda,duttzashil@example.org,+918036904223,Mumbai,Maharashtra,2024-09-28
65,Ronith Bassi,aoza@example.net,07466842487,Pune,Tamil Nadu,2024-06-19
66,Bhavna Apte,lde@example.org,08634243906,Chennai,West Bengal,2025-02-08
67,Dominic Chand,yatanray@example.net,07272716190,Pune,Telangana,2024-03-07
68,Kai Master,divantripti@example.org,4016770389,Pune,Maharashtra,2025-07-11
69,Nitesh Bahri,rsha@example.org,2880417916,Bangalore,Karnataka,2024-02-11
70,Jason Sibal,hema22@example.net,+915490640860,Delhi,Karnataka,2025-07-23
71,Raghav Batta,vaishnavi43@example.com,0638947674,Delhi,Tamil Nadu,2025-08-14
72,Ekaraj Kata,kademeghana@example.org,05880493100,Hyderabad,Gujarat,2024-05-21
73,Abha Walla,vedikakothari@example.net,08733029534,Bangalore,Tamil Nadu,2024-07-04
74,Umang Seshadri,zayanaggarwal@example.net,5406154400,Kolkata,Telangana,2024-04-26
75,Jack Apte,dassarin@example.net,06509729202,Delhi,Karnataka,2025-12-06
76,Ekaraj Shah,ssabharwal@example.org,+910190874171,Pune,West Bengal,2024-12-05
77,Aryan Nanda,adwetamaster@example.net,04178660954,Hyderabad,Maharashtra,2025-02-03
78,Yashvi Devan,hemalchoudhary@example.com,01594820834,Hyderabad,Maharashtra,2024-05-04
79,Nakul Handa,jacksonraval@example.org,+914887471609,Pune,Maharashtra,2025-07-13
80,Qadim Thakur,qganesh@example.com,07868926835,Ahmedabad,Tamil Nadu,2024-11-19
81,Finn Bakshi,epant@example.com,08509698120,Mumbai,Karnataka,2025-10-24
82,Widisha Rattan,golevivaan@example.com,04705111900,Bangalore,Maharashtra,2025-04-20
83,Indira Som,krishubika@example.org,+917721986720,Mumbai,West Bengal,2025-02-20
84,Neelima Dube,gravi@example.com,00203634351,Bangalore,West Bengal,2024-05-03
85,Samesh Bala,gpathak@example.com,02828425354,Mumbai,Delhi,2026-01-21
86,Daksh Pillai,gautami35@example.org,03166146795,Ahmedabad,Karnataka,2024-02-22
87,Raghav Dubey,xsankar@example.org,9348196547,Chennai,Delhi,2026-02-08
88,Darsh Korpal,krishna44@example.com,5294890908,Kolkata,Delhi,2024-03-12
89,Chanakya Kala,banjeet25@example.com,08527899776,Chennai,West Bengal,2025-10-12
90,Thomas Loyal,prishamadan@example.com,6587313374,Delhi,Gujarat,2025-12-18
91,Lopa Mane,aramakrishnan@example.com,+914571115565,Mumbai,Karnataka,2025-08-30
92,Kritika Singh,fkakar@example.com,05643966711,Pune,Karnataka,2024-05-31
93,Jason Jaggi,virajsampath@example.net,+913293957996,Delhi,Karnataka,2025-05-20
94,Bhavya Chandran,luke36@example.org,07242939978,Delhi,Telangana,2024-04-02
95,Wakeeta Vohra,sachdevasamuel@example.com,+916611524315,Ahmedabad,Tamil Nadu,2026-01-16
96,Indrajit Chanda,hemadoctor@example.com,8577823376,Kolkata,Maharashtra,2026-01-29
97,Ria Kar,gaurikatara@example.net,+913711134462,Ahmedabad,Gujarat,2024-02-28
98,Qabil Balay,vyanjana85@example.net,04850123284,Bangalore,Karnataka,2025-03-10
99,Viraj Gala,bailwishi@example.org,9243724348,Bangalore,Karnataka,2024-10-02
100,Daksh Patla,adesai@example.com,+913562683665,Delhi,Tamil Nadu,2024-12-14
101,Rudra Sachdev,kallayatan@example.com,08818604781,Delhi,Delhi,2024-06-18
102,Rajeshri Luthra,vrishti80@example.org,+915345657391,Mumbai,Maharashtra,2025-01-17
103,Viraj Barman,ozajanaki@example.com,6592340517,Mumbai,Delhi,2024-05-02
104,Pallavi Dhar,nmohanty@example.net,3180427662,Mumbai,Telangana,2024-05-01
105,Yahvi Cheema,banjeet17@example.net,5590419057,Kolkata,Telangana,2025-11-10
106,Suhani Bala,kantvinaya@example.net,09676502101,Bangalore,Delhi,2025-07-23
107,Naksh Nayar,harioni@example.org,+910506089072,Mumbai,Tamil Nadu,2025-04-10
108,Laksh Sagar,karanpillay@example.org,4909760585,Pune,Delhi,2025-05-16
109,Michael Kalita,simonchaudhry@example.com,+910154360434,Kolkata,Delhi,2025-04-28
110,Advaith Bhatia,tgrewal@example.net,3147404075,Pune,West Bengal,2024-12-06
111,Girish Sampath,unni89@example.org,02264266150,Kolkata,Karnataka,2025-12-26
112,Charan Bhatnagar,dipta54@example.org,03129558864,Delhi,Tamil Nadu,2024-03-04
113,Christopher Sengupta,utkarshpingle@example.org,3437694360,Kolkata,Maharashtra,2024-09-23
114,Harish Khurana,pgrewal@example.com,6359641419,Mumbai,Delhi,2026-01-07
115,Praneel Raman,veersood@example.net,+914801856030,Hyderabad,Gujarat,2025-08-23
116,Ekalinga Madan,gauri48@example.com,07544027451,Mumbai,Telangana,2025-12-02
117,Yoshita Sanghvi,dsama@example.net,08450492556,Delhi,Telangana,2025-11-14
118,Megha Bobal,agastyachadha@example.net,+910273685285,Chennai,Gujarat,2026-01-10
119,Janya Kari,upadhriti64@example.org,00910387793,Chennai,Karnataka,2024-12-07
120,Chaaya Lanka,ckakar@example.net,+918461813526,Delhi,Tamil Nadu,2025-09-01
121,Osha Madan,chakradev30@example.com,09868842965,Ahmedabad,Maharashtra,2025-03-03
122,Rayaan Srinivasan,banjeet83@example.com,+912866922613,Kolkata,Delhi,2025-09-25
123,Lakshit Srinivasan,hiteshtoor@example.org,1863680294,Chennai,Tamil Nadu,2025-02-06
124,Girik Chacko,upkaar73@example.org,6426608336,Chennai,West Bengal,2025-05-17
125,Yachana Kalla,isaiah61@example.net,8127482605,Hyderabad,Telangana,2024-11-07
126,Neha Koshy,simon35@example.com,01480515980,Kolkata,Tamil Nadu,2025-10-18
127,Upadhriti Karan,andragopal@example.org,03335147965,Ahmedabad,Gujarat,2025-07-27
128,Simon Amble,iluthra@example.net,+917110770477,Hyderabad,West Bengal,2025-07-28
129,Nikita Bajwa,goyalcharles@example.org,+917658178295,Hyderabad,Delhi,2025-11-18
130,Yachana Karnik,nilimadara@example.net,00100686333,Mumbai,Telangana,2024-10-25
131,Atharv Bawa,hdutta@example.net,07883594804,Mumbai,Delhi,2025-09-17
132,Shivansh Kapadia,bhavyapalan@example.net,+916119303728,Kolkata,West Bengal,2025-05-30
133,Yashoda Khatri,uchandra@example.org,+916555861495,Mumbai,Karnataka,2024-12-02
134,Upkaar Barad,yashodavora@example.org,9833137006,Mumbai,Gujarat,2025-12-15
135,David Reddy,wpuri@example.net,+910009427551,Pune,Gujarat,2024-05-04
136,Falak Om,anjalisachdev@example.org,+914403454563,Chennai,Maharashtra,2025-02-06
137,Lajita Chatterjee,rraval@example.net,04676793340,Hyderabad,Tamil Nadu,2024-02-15
138,Aradhana Mane,maanasandra@example.org,+913350736254,Hyderabad,Telangana,2025-09-07
139,Anjali Mangat,alexanderpadmanabhan@example.net,7243913665,Ahmedabad,Maharashtra,2025-02-03
140,Aarna Cheema,ekani59@example.com,9873331622,Bangalore,West Bengal,2025-02-06
141,Eta Chaudhary,xbajwa@example.net,05434248816,Chennai,Maharashtra,2025-12-25
142,Tanvi Sem,arunima91@example.org,+912906064978,Mumbai,Delhi,2025-08-30
143,Manbir Baral,vincent95@example.org,+918395013542,Pune,West Bengal,2025-01-27
144,Ati Date,cheemadakshesh@example.com,3425726611,Kolkata,Telangana,2025-05-03
145,Ria Puri,vedhika53@example.net,7763002126,Delhi,Tamil Nadu,2024-10-07
146,Ekaraj Morar,mukherjeedevansh@example.com,06384225161,Delhi,Tamil Nadu,2025-12-03
147,Ishita Patel,dayamai77@example.com,5732537775,Bangalore,West Bengal,2025-09-20
148,Vasudha Manne,bishakha46@example.net,+913452071000,Pune,Maharashtra,2025-10-07
149,Luke Kapoor,chaudhrymitali@example.com,+918858511707,Mumbai,Telangana,2026-01-02
150,Sai Purohit,ladlikota@example.net,1391690423,Bangalore,Delhi,2024-12-28
151,Balvan Sunder,nhegde@example.com,+915536664907,Chennai,Karnataka,2024-10-11
152,Kai Dey,sbail@example.com,+913502351984,Kolkata,Gujarat,2024-06-15
153,Jeet Karpe,manbirchada@example.com,+916971719189,Pune,West Bengal,2024-03-28
154,Anirudh Mann,vyanjanabora@example.com,+916868371201,Kolkata,Karnataka,2025-11-14
